iter	Passed	Remaining
0	62	62163
1	62	31211
2	62	20885
3	63	15725
4	63	12620
5	63	10549
6	63	9068
7	64	7961
8	64	7097
9	64	6407
10	64	5843
11	65	5374
12	65	4974
13	65	4634
14	66	4337
15	66	4079
16	66	3849
17	66	3647
18	67	3465
19	67	3302
20	67	3154
21	67	3018
22	68	2897
23	68	2785
24	68	2681
25	69	2585
26	69	2496
27	69	2414
28	69	2342
29	70	2270
30	70	2202
31	71	2149
32	71	2089
33	71	2033
34	71	1980
35	72	1930
36	72	1883
37	72	1838
38	72	1796
39	73	1755
40	73	1716
41	73	1679
42	73	1644
43	74	1610
44	74	1578
45	74	1547
46	74	1517
47	75	1489
48	75	1462
49	75	1436
50	75	1412
51	76	1388
52	76	1365
53	76	1344
54	77	1323
55	77	1303
56	77	1283
57	77	1264
58	78	1245
59	78	1227
60	78	1209
61	78	1193
62	79	1177
63	79	1161
64	79	1145
65	79	1131
66	80	1116
67	80	1100
68	80	1089
69	81	1078
70	81	1065
71	81	1052
72	81	1040
73	82	1028
74	82	1017
75	82	1006
76	83	1005
77	84	993
78	84	982
79	84	971
80	84	961
81	85	951
82	85	942
83	85	932
84	85	922
85	85	913
86	86	903
87	86	894
88	86	886
89	86	878
90	87	871
91	87	863
92	87	855
93	88	848
94	88	840
95	88	833
96	88	826
97	89	819
98	89	812
99	89	805
100	89	798
101	89	791
102	90	784
103	90	778
104	90	772
105	90	765
106	91	760
107	91	754
108	91	749
109	92	744
110	92	739
111	92	734
112	92	728
113	93	723
114	93	718
115	93	712
116	93	707
117	94	702
118	94	697
119	94	692
120	94	687
121	94	683
122	95	677
123	95	673
124	95	669
125	95	664
126	96	660
127	96	654
128	96	650
129	96	646
130	96	642
131	97	639
132	97	635
133	97	631
134	97	627
135	98	623
136	98	620
137	98	616
138	98	612
139	99	608
140	99	605
141	99	602
142	99	598
143	100	595
144	100	592
145	100	588
146	100	585
147	101	582
148	101	579
149	101	576
150	101	572
151	102	569
152	102	566
153	102	564
154	102	561
155	103	558
156	103	555
157	103	552
158	103	549
159	104	546
160	104	544
161	104	541
162	104	538
163	105	536
164	105	533
165	105	531
166	105	528
167	106	526
168	106	523
169	106	521
170	107	518
171	107	517
172	107	515
173	108	512
174	108	510
175	108	508
176	108	505
177	109	503
178	109	501
179	109	499
180	109	496
181	109	494
182	110	491
183	110	489
184	110	487
185	110	485
186	111	483
187	111	481
188	111	479
189	112	477
190	112	475
191	112	473
192	112	472
193	113	470
194	113	468
195	113	466
196	113	464
197	114	462
198	114	460
199	114	458
200	114	456
201	115	455
202	115	453
203	115	451
204	115	449
205	116	448
206	116	446
207	116	444
208	117	443
209	117	441
210	117	439
211	117	437
212	117	435
213	118	433
214	118	431
215	118	430
216	118	428
217	118	426
218	119	424
219	119	422
220	119	421
221	119	419
222	119	417
223	120	416
224	120	414
225	120	412
226	120	410
227	120	409
228	121	407
229	121	405
230	121	404
231	121	402
232	121	401
233	122	399
234	122	397
235	122	396
236	122	394
237	122	393
238	122	391
239	123	389
240	123	388
241	123	386
242	123	385
243	123	383
244	124	382
245	124	380
246	124	379
247	124	378
248	124	376
249	125	375
250	125	373
251	125	372
252	125	371
253	125	369
254	126	368
255	126	366
256	126	365
257	126	364
258	126	362
259	126	361
260	127	360
261	127	358
262	127	357
263	127	356
264	127	354
265	128	353
266	128	352
267	128	351
268	128	349
269	128	348
270	129	347
271	129	346
272	129	344
273	129	343
274	129	342
275	130	341
276	130	340
277	130	338
278	130	337
279	130	336
280	131	335
281	131	334
282	131	333
283	131	332
284	131	331
285	132	329
286	132	328
287	132	327
288	132	326
289	132	325
290	133	324
291	133	323
292	133	321
293	133	321
294	133	320
295	134	318
296	134	317
297	134	316
298	134	315
299	134	314
300	135	313
301	135	312
302	135	311
303	135	310
304	135	309
305	136	308
306	136	307
307	136	306
308	136	305
309	136	304
310	137	303
311	137	302
312	137	301
313	137	300
314	137	299
315	138	298
316	138	297
317	138	296
318	138	295
319	138	294
320	138	293
321	139	292
322	139	292
323	139	291
324	139	290
325	139	289
326	140	288
327	140	287
328	140	286
329	140	285
330	140	284
331	141	284
332	141	283
333	141	282
334	141	281
335	141	280
