iter	Passed	Remaining
0	0	923
1	1	570
2	1	449
3	1	390
4	1	354
5	2	331
6	2	315
7	2	303
8	2	294
9	2	285
10	3	275
11	3	270
12	3	262
13	3	257
14	3	256
15	4	251
16	4	246
17	4	243
18	4	241
19	4	239
20	5	237
21	5	235
22	5	232
23	5	231
24	5	229
25	6	228
26	6	228
27	6	227
28	6	225
29	6	224
30	7	224
31	7	222
32	7	221
33	7	220
34	7	219
35	8	218
36	8	217
37	8	217
38	8	216
39	8	215
40	9	214
41	9	213
42	9	212
43	9	213
44	10	212
45	10	211
46	10	211
47	10	210
48	10	212
49	11	211
50	11	211
51	11	210
52	11	209
53	11	209
54	12	208
55	12	208
56	12	207
57	12	207
58	13	207
59	13	206
60	13	206
61	13	205
62	13	205
63	13	204
64	14	204
65	14	203
66	14	202
67	14	202
68	14	202
69	15	201
70	15	200
71	15	200
72	15	200
73	15	199
74	16	199
75	16	198
76	16	198
77	16	197
78	17	205
79	17	204
80	18	204
81	18	204
82	18	202
83	18	202
84	18	201
85	18	201
86	19	200
87	19	200
88	19	199
89	19	199
90	19	199
91	20	198
92	20	198
93	20	197
94	20	197
95	20	197
96	21	196
97	21	196
98	21	195
99	21	195
100	21	194
101	22	194
102	22	194
103	22	193
104	22	193
105	22	192
106	23	192
107	23	192
108	23	192
109	23	191
110	23	191
111	24	191
112	24	190
113	24	190
114	24	189
115	24	189
116	24	188
117	25	188
118	25	188
119	25	188
120	25	187
121	25	187
122	26	186
123	26	186
124	26	187
125	27	187
126	27	186
127	27	186
128	27	186
129	27	186
130	28	185
131	28	185
132	28	185
133	28	185
134	28	184
135	29	184
136	29	184
137	29	183
138	29	183
139	29	183
140	30	182
141	30	182
142	30	181
143	30	181
144	30	181
145	30	180
146	31	180
147	31	180
148	31	179
149	31	179
150	31	179
151	32	178
152	32	178
153	32	178
154	32	177
155	32	177
156	33	177
157	33	177
158	33	176
159	33	176
160	33	176
161	33	175
162	34	175
163	34	175
164	34	174
165	34	174
166	34	174
